pre frontal cortex,posterior parietal cortex,pfc,prefrontal cortex,posteriorparietal cortex,ppc
0,0,30,7,0,0
0,0,14,12,0,0
0,0,28,0,0,0
0,5,54,15,0,0
1,0,14,22,0,0
0,0,0,8,0,0
0,0,18,19,0,0
0,0,0,21,0,0
0,0,53,17,0,0
0,0,74,19,0,0
0,3,11,4,0,9
0,0,34,0,0,0
0,1,23,18,0,0
0,0,39,7,0,0
0,0,8,0,0,0
0,0,50,9,0,0
0,0,0,11,0,0
0,0,51,16,0,0
0,0,0,26,0,0
0,0,7,2,0,0
0,0,102,0,0,0
0,0,0,0,0,0
0,0,67,0,0,0
0,0,22,3,0,0
0,0,43,20,0,0
0,0,58,13,0,0
1,0,3,5,0,0
0,0,0,0,0,0
0,1,0,6,0,0
1,0,0,0,0,0
0,0,0,1,0,0
3,0,15,14,0,0
2,0,10,6,0,0
0,0,0,1,0,0
0,0,67,0,0,0
1,0,0,12,0,0
0,0,3,0,0,0
0,0,56,0,0,0
0,0,5,0,0,0
1,0,0,2,0,0
1,0,0,8,0,0
0,0,42,6,0,0
0,0,131,0,0,0
1,0,33,10,0,0
1,0,32,4,0,0
0,0,32,14,0,0
0,0,53,5,0,0
0,0,16,0,0,0
0,0,10,0,0,0
1,0,72,16,0,0
0,0,24,0,0,0
0,0,0,18,0,0
0,0,25,0,0,0
0,0,0,6,0,0
0,0,0,8,0,0
0,0,0,20,0,0
0,0,46,14,0,0
0,1,0,4,0,0
0,0,15,3,0,0
0,0,10,6,0,0
0,0,26,0,0,0
1,1,91,11,0,0
0,0,0,2,0,0
0,0,6,5,0,0
0,0,0,4,0,0
0,1,46,18,0,0
0,0,11,0,0,0
0,0,45,0,0,0
0,0,23,22,0,0
0,0,116,17,0,0
0,0,76,0,0,0
0,0,862,0,0,0
0,0,88,17,0,0
0,0,64,25,0,0
0,0,18,0,0,0
0,0,43,5,0,0
1,0,0,20,0,1
0,0,0,11,0,0
0,0,0,3,0,0
0,0,15,4,0,0
0,0,47,5,0,0
0,0,0,3,0,0
2,0,0,86,0,0
0,0,3,1,0,0
0,2,23,14,0,0
0,0,0,1,0,0
0,0,0,0,0,0
0,0,0,10,0,0
0,2,72,27,0,0
0,0,47,0,0,0
0,0,19,6,0,0
0,0,176,74,0,0
1,0,36,3,0,0
0,0,0,0,0,0
1,0,0,6,0,0
0,0,28,0,0,0
1,0,43,47,0,0
0,0,20,6,0,0
0,0,0,6,0,0
0,0,14,5,0,0
3,0,69,20,0,0
0,0,1,0,0,0
0,2,25,9,0,0
0,0,28,0,0,0
0,0,1,37,0,0
3,0,27,17,0,0
1,16,0,52,0,0
0,0,21,8,0,0
0,0,0,9,0,0
0,0,7,1,0,3
0,0,0,6,0,0
0,0,0,8,0,0
0,0,0,30,0,0
0,0,22,24,0,0
0,0,7,3,0,0
0,0,5,5,0,0
0,0,0,2,0,0
1,0,37,15,0,0
0,0,0,0,0,0
0,0,6,6,0,0
0,0,44,0,0,0
0,0,0,17,0,0
0,0,0,0,0,0
0,2,29,12,0,0
0,0,0,98,0,0
0,0,24,5,0,0
0,0,67,9,0,0
0,0,3,0,0,0
1,0,0,8,0,0
0,0,11,6,0,0
0,1,81,6,0,7
0,0,0,3,0,0
0,1,157,31,0,5
0,0,40,0,0,0
0,0,39,0,0,0
1,0,30,20,0,0
1,0,25,9,0,0
0,0,63,12,0,0
1,0,1,7,0,0
0,0,42,0,0,0
0,0,121,22,0,0
0,0,0,8,0,0
0,0,22,11,0,0
0,0,0,1,0,0
0,0,10,10,0,0
0,0,0,10,0,0
2,0,2,16,0,0
1,1,1,5,0,0
3,0,72,37,0,0
0,0,20,7,0,0
0,0,15,18,0,0
0,1,28,9,0,0
0,0,3,2,0,0
0,0,30,0,0,0
0,0,0,0,0,0
1,0,17,3,0,0
0,0,0,9,0,0
0,0,20,44,0,0
0,0,0,0,0,0
0,0,0,2,0,0
1,0,45,28,0,0
0,0,0,5,0,0
0,0,0,1,0,0
1,0,45,10,0,0
0,0,0,4,0,0
0,0,2,4,0,0
0,0,42,7,0,0
0,0,14,0,0,0
0,0,7,9,0,0
0,0,23,20,0,0
0,0,0,2,0,0
0,0,9,3,0,0
0,0,0,8,0,0
0,0,7,13,0,0
0,0,8,9,0,0
0,0,0,17,0,0
0,0,22,0,0,0
0,0,42,0,0,0
0,0,17,3,0,0
0,0,37,0,0,0
0,0,13,13,0,0
0,0,26,4,0,0
0,0,26,0,0,0
4,0,0,29,0,0
0,0,0,0,0,0
0,0,0,4,0,0
3,0,0,1,0,0
0,0,79,0,0,0
0,0,0,11,0,0
0,0,2,2,0,0
0,0,21,11,0,0
2,0,0,25,0,19
0,0,7,16,0,0
0,0,0,4,0,0
0,0,0,12,0,0
1,0,0,45,0,0
0,0,5,6,0,0
0,0,0,1,0,0
1,0,23,12,0,0
0,0,0,15,0,0
0,0,11,6,0,0
0,0,34,0,0,0
0,0,16,11,0,0
0,0,1,7,0,0
0,0,0,9,0,0
0,0,28,17,0,0
0,0,29,7,0,0
0,0,7,12,0,0
0,0,52,10,0,0
0,0,0,17,0,0
0,1,52,28,0,0
0,0,29,0,0,0
0,1,152,26,0,0
2,0,2,15,0,0
0,0,13,0,0,0
0,0,19,0,0,0
0,0,71,0,0,0
0,0,14,4,0,0
0,0,12,0,0,0
0,1,0,3,0,0
0,0,18,7,0,0
0,1,0,1,0,0
0,0,0,0,0,0
2,1,0,19,0,0
0,0,2,0,0,0
0,0,26,6,0,0
0,0,0,1,0,0
0,0,11,6,0,0
0,0,10,2,0,0
0,0,36,0,0,0
0,0,0,34,0,0
0,0,3,8,0,0
0,0,126,14,0,0
1,0,5,12,0,0
0,0,3,2,0,0
0,0,5,4,0,0
0,0,13,0,0,0
0,0,23,10,0,0
0,0,88,17,0,0
0,0,0,31,0,0
0,0,9,7,0,0
0,0,27,25,0,0
0,0,49,10,0,0
0,0,7,0,0,0
1,0,3,19,0,0
0,0,0,0,0,0
1,0,0,43,0,0
0,0,1,0,0,0
0,0,0,15,0,0
0,0,0,3,0,0
0,0,16,13,0,0
0,0,3,21,0,0
0,2,18,13,0,0
0,0,0,6,0,0
0,0,0,5,0,0
0,0,10,10,0,0
0,0,24,0,0,0
0,0,4,0,0,0
1,1,61,13,0,0
0,0,0,8,0,0
0,0,46,15,0,0
0,0,0,3,0,0
0,0,6,9,0,0
0,0,19,0,0,0
7,0,134,29,0,0
1,0,0,54,0,0
0,0,0,1,0,0
0,0,0,3,0,0
0,0,44,6,0,0
1,0,54,5,0,0
0,0,0,2,0,0
0,0,1,0,0,0
0,0,0,4,0,0
0,0,0,0,0,0
2,0,0,19,0,0
0,0,22,8,0,0
0,0,86,17,0,0
0,0,0,3,0,0
0,0,51,17,0,0
1,4,41,10,0,0
0,0,4,11,0,0
0,0,0,3,0,0
2,0,0,30,0,0
0,0,10,7,0,0
0,0,0,14,0,0
1,0,0,8,0,0
0,0,0,1,0,0
0,0,2,0,0,12
1,0,48,15,0,0
0,0,0,3,0,0
0,1,59,9,0,0
0,0,35,0,0,0
0,0,18,6,0,0
0,0,54,17,0,0
1,0,34,12,0,0
0,0,9,7,0,0
0,0,0,3,0,0
0,0,7,0,0,0
1,0,0,54,0,0
0,0,23,0,0,0
1,0,38,13,0,0
0,0,41,6,0,0
0,0,51,12,0,0
0,0,1,7,0,0
0,0,0,0,0,0
0,0,21,0,0,0
0,0,31,0,0,0
1,0,70,7,0,0
1,0,0,20,0,0
2,0,50,15,0,0
0,0,0,3,0,0
0,0,7,0,0,0
0,0,0,8,0,0
1,0,72,14,0,0
0,0,0,6,0,0
0,0,17,0,0,0
0,0,9,0,0,0
0,0,9,0,0,0
0,0,17,0,0,0
0,0,57,17,0,0
0,0,0,5,0,0
0,0,5,1,0,0
0,0,82,15,0,0
0,0,87,0,0,0
0,0,0,11,0,0
0,0,26,25,0,0
0,0,0,1,0,0
1,0,43,21,0,0
0,0,58,10,0,0
0,0,110,4,0,0
0,0,0,1,0,0
0,0,0,17,0,0
1,0,9,14,0,0
0,0,15,4,0,0
0,0,2,0,0,0
0,0,21,0,0,0
0,0,133,2,0,0
0,0,60,22,0,0
0,0,1,5,0,0
0,1,1,20,0,0
0,0,0,3,0,0
0,0,91,38,0,0
0,0,0,12,0,0
0,0,11,0,0,0
0,0,18,8,0,0
0,0,4,20,0,0
0,0,125,0,0,0
1,0,93,10,0,0
0,0,25,5,0,0
0,0,0,8,0,0
2,0,125,13,0,0
0,0,0,4,0,0
0,0,40,0,0,0
2,0,84,8,0,0
0,0,23,0,0,0
1,0,12,11,0,0
0,0,77,0,0,0
0,0,0,10,0,0
2,1,0,21,0,0
0,0,24,6,0,0
0,0,0,4,0,0
2,0,0,24,0,0
0,2,15,2,0,0
0,0,7,0,0,0
0,0,24,7,0,0
0,0,0,1,0,0
0,0,0,6,0,0
0,0,0,8,0,0
0,0,38,16,0,0
0,0,33,4,0,0
0,0,103,10,0,0
0,0,26,14,0,0
0,0,0,6,0,0
0,0,57,13,0,0
0,0,32,10,0,0
0,0,86,17,0,0
0,0,24,11,0,0
0,0,18,14,0,0
0,0,49,0,0,0
0,0,85,27,0,0
0,0,0,0,0,0
0,0,0,7,0,0
0,0,64,49,0,0
0,0,6,2,0,0
1,0,195,15,0,0
0,0,0,9,0,1
0,0,0,9,0,0
0,0,43,10,0,0
0,0,12,11,0,0
0,0,0,50,0,0
0,0,0,6,0,0
0,0,0,0,0,0
3,0,0,19,0,0
1,0,16,8,0,0
1,0,43,9,0,0
0,0,13,10,0,0
0,0,23,25,0,0
1,1,87,12,0,0
0,0,15,0,0,0
0,0,23,1,0,0
0,1,207,34,0,0
0,0,26,4,0,0
0,0,10,10,0,0
0,0,540,0,0,0
0,0,0,2,0,0
0,0,3,15,0,0
0,0,5,0,0,0
0,0,2,12,0,0
0,0,15,5,0,0
0,1,0,8,0,0
0,0,0,1,0,0
0,0,40,0,0,0
0,0,20,6,0,0
0,0,26,0,0,0
0,1,0,7,0,0
0,0,17,8,0,0
0,0,7,5,0,0
0,0,35,0,0,0
0,0,42,14,0,0
0,2,55,9,0,0
0,0,25,13,0,0
0,0,12,4,0,0
0,0,0,21,0,0
0,0,33,0,0,0
0,0,1,0,0,0
0,0,3,3,0,0
0,0,19,2,0,0
0,0,2,0,0,0
0,0,92,5,0,0
2,0,7,15,0,0
0,0,7,11,0,0
0,0,45,6,0,0
1,0,9,4,0,0
0,0,10,0,0,0
0,0,41,15,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,1,27,8,0,0
0,0,46,7,0,0
0,0,12,0,0,0
0,4,0,57,0,1
0,0,0,3,0,0
0,0,0,2,0,0
0,0,16,0,0,0
1,0,0,20,0,0
0,0,3,1,0,0
0,0,63,16,0,0
2,0,54,8,0,0
2,0,58,11,0,0
4,0,104,27,0,0
0,0,40,27,0,0
4,0,9,11,0,0
1,0,3,2,0,0
0,0,19,0,0,0
0,0,5,0,0,0
1,0,34,9,0,0
0,0,63,0,0,0
0,1,0,6,0,0
0,0,32,16,0,0
0,0,51,0,0,0
0,0,3,0,0,0
1,0,4,16,0,0
0,0,0,7,0,0
4,1,4,23,0,0
0,0,20,7,0,0
0,0,8,8,0,0
0,0,11,24,0,0
0,0,0,6,0,0
0,0,49,22,0,0
1,0,2,3,0,0
0,0,6,0,0,0
0,0,0,1,0,0
1,0,71,31,0,0
0,0,8,3,0,0
2,0,35,25,0,0
0,0,16,0,0,0
1,4,32,15,0,2
0,0,2,0,0,0
0,2,42,15,0,0
0,0,0,0,0,0
1,0,12,14,0,0
0,0,64,0,0,0
0,0,133,0,0,0
0,0,29,10,0,0
1,0,18,12,0,0
0,0,2,2,0,0
3,0,9,23,0,0
0,0,0,2,0,0
0,0,4,2,0,0
0,0,53,8,0,0
0,0,54,0,0,0
0,0,0,6,0,0
0,0,25,5,0,0
0,0,0,5,0,0
0,0,12,11,0,0
0,0,15,18,0,0
0,0,0,2,0,0
0,0,11,3,0,0
1,0,0,7,0,0
0,2,117,75,0,0
1,0,13,15,0,0
4,0,80,22,0,0
0,1,4,14,0,0
0,1,7,7,0,0
0,0,33,15,0,0
0,0,16,0,0,0
2,1,7,13,0,0
0,0,0,1,0,0
0,0,15,28,0,0
0,0,1,6,0,0
0,0,2,2,0,0
0,0,136,18,0,0
0,0,31,5,0,0
1,0,27,14,0,0
0,5,2,10,0,3
0,0,41,13,0,0
0,3,89,5,0,48
0,0,0,24,0,0
0,0,19,6,0,0
0,0,111,0,0,1
1,0,0,18,0,0
1,0,8,14,0,0
0,0,43,5,0,0
1,0,64,20,0,0
0,0,427,0,0,0
0,0,15,0,0,0
0,0,0,0,0,0
0,0,0,14,0,0
1,0,96,15,0,0
1,0,12,8,0,0
0,0,37,12,0,0
0,0,10,6,0,0
0,0,64,0,0,0
0,0,20,9,0,0
0,0,35,9,0,0
1,0,12,2,0,0
0,0,170,29,0,0
0,0,32,7,0,0
1,0,28,20,0,0
0,0,18,2,0,0
0,0,33,0,0,0
0,13,61,19,0,0
2,0,62,12,0,0
0,0,7,9,0,0
1,0,31,1,0,0
0,0,4,8,0,0
0,0,135,0,0,0
0,0,35,13,0,0
0,0,11,6,0,0
0,0,11,0,0,0
0,0,16,6,0,0
0,0,30,13,0,0
0,0,19,6,0,0
0,0,91,0,0,0
0,0,15,4,0,1
0,0,61,21,0,0
1,0,16,3,0,0
0,0,56,8,0,0
0,0,0,9,0,0
3,0,81,53,0,0
0,0,24,11,0,0
0,0,26,3,0,0
0,1,43,10,0,0
1,0,42,4,0,0
0,0,1,0,0,0
0,0,0,7,0,0
0,0,5,0,0,0
0,0,10,0,0,0
0,0,2,0,0,0
0,0,2,1,0,0
0,0,33,11,0,0
0,0,0,0,0,0
0,0,193,46,0,0
0,0,0,5,0,0
1,1,7,1,0,1
0,0,9,0,0,0
0,0,35,20,0,0
0,0,28,0,0,0
0,0,28,6,0,0
0,0,29,0,0,0
0,1,8,3,0,0
1,0,75,7,0,0
1,0,41,13,0,0
1,0,19,29,0,0
0,0,19,7,0,0
0,0,2,0,0,0
0,0,198,0,0,0
0,0,0,32,0,0
0,0,126,22,0,0
0,0,0,1,0,0
0,0,13,3,0,0
0,0,23,2,0,0
0,0,3,7,0,0
0,0,48,10,0,0
0,0,0,3,0,0
0,0,54,25,0,0
0,0,0,1,0,0
0,0,11,3,0,0
1,0,22,16,0,0
0,0,35,8,0,0
0,0,2,0,0,0
0,0,0,15,0,0
0,0,5,0,0,0
0,2,20,21,0,10
0,0,159,0,0,0
0,1,1,6,0,0
1,0,54,27,0,0
0,0,0,3,0,0
0,0,69,7,0,0
0,0,10,4,0,0
