total Pre Frontal,Total Posterior
37,0
26,0
28,0
69,5
37,0
8,0
37,0
21,0
70,0
93,0
15,12
34,0
41,1
46,0
8,0
59,0
11,0
67,0
26,0
9,0
102,0
0,0
67,0
25,0
63,0
71,0
9,0
0,0
6,1
1,0
1,0
32,0
18,0
1,0
67,0
13,0
3,0
56,0
5,0
3,0
9,0
48,0
131,0
44,0
37,0
46,0
58,0
16,0
10,0
89,0
24,0
18,0
25,0
6,0
8,0
20,0
60,0
4,1
18,0
16,0
26,0
103,1
2,0
11,0
4,0
64,1
11,0
45,0
45,0
133,0
76,0
862,0
105,0
89,0
18,0
48,0
21,1
11,0
3,0
19,0
52,0
3,0
88,0
4,0
37,2
1,0
0,0
10,0
99,2
47,0
25,0
250,0
40,0
0,0
7,0
28,0
91,0
26,0
6,0
19,0
92,0
1,0
34,2
28,0
38,0
47,0
53,16
29,0
9,0
8,3
6,0
8,0
30,0
46,0
10,0
10,0
2,0
53,0
0,0
12,0
44,0
17,0
0,0
41,2
98,0
29,0
76,0
3,0
9,0
17,0
87,8
3,0
188,6
40,0
39,0
51,0
35,0
75,0
9,0
42,0
143,0
8,0
33,0
1,0
20,0
10,0
20,0
7,1
112,0
27,0
33,0
37,1
5,0
30,0
0,0
21,0
9,0
64,0
0,0
2,0
74,0
5,0
1,0
56,0
4,0
6,0
49,0
14,0
16,0
43,0
2,0
12,0
8,0
20,0
17,0
17,0
22,0
42,0
20,0
37,0
26,0
30,0
26,0
33,0
0,0
4,0
4,0
79,0
11,0
4,0
32,0
27,19
23,0
4,0
12,0
46,0
11,0
1,0
36,0
15,0
17,0
34,0
27,0
8,0
9,0
45,0
36,0
19,0
62,0
17,0
80,1
29,0
178,1
19,0
13,0
19,0
71,0
18,0
12,0
3,1
25,0
1,1
0,0
21,1
2,0
32,0
1,0
17,0
12,0
36,0
34,0
11,0
140,0
18,0
5,0
9,0
13,0
33,0
105,0
31,0
16,0
52,0
59,0
7,0
23,0
0,0
44,0
1,0
15,0
3,0
29,0
24,0
31,2
6,0
5,0
20,0
24,0
4,0
75,1
8,0
61,0
3,0
15,0
19,0
170,0
55,0
1,0
3,0
50,0
60,0
2,0
1,0
4,0
0,0
21,0
30,0
103,0
3,0
68,0
52,4
15,0
3,0
32,0
17,0
14,0
9,0
1,0
2,12
64,0
3,0
68,1
35,0
24,0
71,0
47,0
16,0
3,0
7,0
55,0
23,0
52,0
47,0
63,0
8,0
0,0
21,0
31,0
78,0
21,0
67,0
3,0
7,0
8,0
87,0
6,0
17,0
9,0
9,0
17,0
74,0
5,0
6,0
97,0
87,0
11,0
51,0
1,0
65,0
68,0
114,0
1,0
17,0
24,0
19,0
2,0
21,0
135,0
82,0
6,0
21,1
3,0
129,0
12,0
11,0
26,0
24,0
125,0
104,0
30,0
8,0
140,0
4,0
40,0
94,0
23,0
24,0
77,0
10,0
23,1
30,0
4,0
26,0
17,2
7,0
31,0
1,0
6,0
8,0
54,0
37,0
113,0
40,0
6,0
70,0
42,0
103,0
35,0
32,0
49,0
112,0
0,0
7,0
113,0
8,0
211,0
9,1
9,0
53,0
23,0
50,0
6,0
0,0
22,0
25,0
53,0
23,0
48,0
100,1
15,0
24,0
241,1
30,0
20,0
540,0
2,0
18,0
5,0
14,0
20,0
8,1
1,0
40,0
26,0
26,0
7,1
25,0
12,0
35,0
56,0
64,2
38,0
16,0
21,0
33,0
1,0
6,0
21,0
2,0
97,0
24,0
18,0
51,0
14,0
10,0
56,0
1,0
1,0
35,1
53,0
12,0
57,5
3,0
2,0
16,0
21,0
4,0
79,0
64,0
71,0
135,0
67,0
24,0
6,0
19,0
5,0
44,0
63,0
6,1
48,0
51,0
3,0
21,0
7,0
31,1
27,0
16,0
35,0
6,0
71,0
6,0
6,0
1,0
103,0
11,0
62,0
16,0
48,6
2,0
57,2
0,0
27,0
64,0
133,0
39,0
31,0
4,0
35,0
2,0
6,0
61,0
54,0
6,0
30,0
5,0
23,0
33,0
2,0
14,0
8,0
192,2
29,0
106,0
18,1
14,1
48,0
16,0
22,1
1,0
43,0
7,0
4,0
154,0
36,0
42,0
12,8
54,0
94,51
24,0
25,0
111,1
19,0
23,0
48,0
85,0
427,0
15,0
0,0
14,0
112,0
21,0
49,0
16,0
64,0
29,0
44,0
15,0
199,0
39,0
49,0
20,0
33,0
80,13
76,0
16,0
33,0
12,0
135,0
48,0
17,0
11,0
22,0
43,0
25,0
91,0
19,1
82,0
20,0
64,0
9,0
137,0
35,0
29,0
53,1
47,0
1,0
7,0
5,0
10,0
2,0
3,0
44,0
0,0
239,0
5,0
9,2
9,0
55,0
28,0
34,0
29,0
11,1
83,0
55,0
49,0
26,0
2,0
198,0
32,0
148,0
1,0
16,0
25,0
10,0
58,0
3,0
79,0
1,0
14,0
39,0
43,0
2,0
15,0
5,0
41,12
159,0
7,1
82,0
3,0
76,0
14,0
36,0
77,0
3,0
7,0
3,0
4,0
151,7
62,0
1,0
220,2
97,0
4,0
21,0
6,0
23,0
14,0
80,0
16,0
52,0
34,1
18,0
144,0
6,0
13,0
0,0
53,0
39,0
2,0
47,0
63,0
4,0
48,0
6,0
80,0
6,0
17,1
0,0
30,0
23,0
8,0
19,0
31,0
157,0
108,0
120,0
1,0
52,0
53,0
18,0
167,0
29,0
31,0
43,0
43,1
37,0
113,0
68,0
3,0
6,0
15,0
19,0
34,1
24,0
52,0
2,0
14,0
13,0
23,0
72,0
32,3
15,0
0,0
47,0
2,0
6,0
62,0
64,0
30,0
109,0
32,0
11,0
117,0
66,0
18,0
31,0
13,0
40,0
34,0
37,2
8,0
82,0
54,0
2,0
85,0
24,2
14,0
1,0
2,0
2,0
108,0
36,0
79,0
57,0
37,0
25,0
24,0
33,0
61,0
78,0
31,0
20,0
17,0
45,8
33,0
27,0
1,0
